plot,date,time,temp,rec_time
A,180517,1311,19.9,47460
A,180517,1326,19.9,48360
A,180517,1341,20.0,49260
A,180517,1356,20.3,50160
A,180517,1411,21.0,51060
A,180517,1426,21.3,51960
A,180517,1441,21.3,52860
A,180517,1456,22.0,53760
A,180517,1511,22.1,54660
A,180517,1526,22.1,55560
A,180517,1541,22.3,56460
A,180517,1556,22.4,57360
A,180517,1611,22.6,58260
A,180517,1626,22.3,59160
A,180517,1641,22.3,60060
A,180517,1656,22.3,60960
A,180517,1711,22.2,61860
A,180517,1726,22.1,62760
A,180517,1741,21.7,63660
A,180517,1756,21.8,64560
A,180517,1811,21.9,65460
A,180517,1826,21.8,66360
A,180517,1841,21.6,67260
A,180517,1856,21.4,68160
A,180517,1911,21.3,69060
A,180517,1926,21.0,69960
A,180517,1941,20.9,70860
A,180517,1956,20.8,71760
A,180517,2011,20.6,72660
A,180517,2026,20.3,73560
A,180517,2041,20.3,74460
A,180517,2056,20.3,75360
A,180517,2111,20.2,76260
A,180517,2126,20.1,77160
A,180517,2141,20.0,78060
A,180517,2156,19.9,78960
A,180517,2211,19.8,79860
A,180517,2226,19.7,80760
A,180517,2241,19.5,81660
A,180517,2256,19.4,82560
A,180517,2311,19.4,83460
A,180517,2326,19.5,84360
A,180517,2341,19.4,85260
A,180517,2356,19.4,86160
A,180518,0011,19.3,660
A,180518,0026,19.2,1560
A,180518,0041,19.2,2460
A,180518,0056,19.1,3360
A,180518,0111,18.9,4260
A,180518,0126,18.9,5160
A,180518,0141,18.8,6060
A,180518,0156,18.7,6960
A,180518,0211,18.7,7860
A,180518,0226,18.6,8760
A,180518,0241,18.6,9660
A,180518,0256,18.7,10560
A,180518,0311,18.7,11460
A,180518,0326,18.7,12360
A,180518,0341,18.7,13260
A,180518,0356,18.8,14160
A,180518,0411,18.9,15060
A,180518,0426,18.8,15960
A,180518,0441,18.8,16860
A,180518,0456,18.7,17760
A,180518,0511,18.5,18660
A,180518,0526,18.5,19560
A,180518,0541,18.5,20460
A,180518,0556,18.5,21360
A,180518,0611,18.6,22260
A,180518,0626,18.6,23160
A,180518,0641,18.6,24060
A,180518,0656,18.5,24960
A,180518,0711,18.5,25860
A,180518,0726,18.5,26760
A,180518,0741,18.5,27660
A,180518,0756,18.5,28560
A,180518,0811,18.6,29460
A,180518,0826,18.9,30360
A,180518,0841,19.0,31260
A,180518,0856,19.1,32160
A,180518,0911,19.3,33060
A,180518,0926,19.6,33960
A,180518,0941,19.7,34860
A,180518,0956,19.8,35760
A,180518,1011,19.9,36660
A,180518,1026,20.2,37560
A,180518,1041,20.5,38460
A,180518,1056,20.5,39360
A,180518,1111,20.7,40260
A,180518,1126,20.8,41160
A,180518,1141,20.9,42060
A,180518,1156,21.0,42960
A,180518,1211,21.1,43860
A,180518,1226,21.0,44760
A,180518,1241,21.0,45660
A,180518,1256,21.7,46560
A,180518,1311,21.6,47460
A,180518,1326,22.1,48360
A,180518,1341,22.4,49260
A,180518,1356,23.4,50160
A,180518,1411,23.7,51060
A,180518,1426,23.8,51960
A,180518,1441,23.6,52860
A,180518,1456,23.8,53760
A,180518,1511,24.4,54660
A,180518,1526,24.7,55560
A,180518,1541,24.5,56460
A,180518,1556,24.5,57360
A,180518,1611,24.6,58260
A,180518,1626,24.2,59160
A,180518,1641,25.0,60060
A,180518,1656,25.7,60960
A,180518,1711,25.5,61860
A,180518,1726,25.1,62760
A,180518,1741,25.2,63660
A,180518,1756,25.7,64560
A,180518,1811,26.1,65460
A,180518,1826,26.3,66360
A,180518,1841,26.1,67260
A,180518,1856,26.2,68160
A,180518,1911,26.4,69060
A,180518,1926,26.1,69960
A,180518,1941,25.9,70860
A,180518,1956,25.7,71760
A,180518,2011,24.7,72660
A,180518,2026,24.2,73560
A,180518,2041,23.9,74460
A,180518,2056,23.6,75360
A,180518,2111,23.2,76260
A,180518,2126,22.6,77160
A,180518,2141,22.2,78060
A,180518,2156,21.9,78960
A,180518,2211,21.6,79860
A,180518,2226,21.2,80760
A,180518,2241,21.0,81660
A,180518,2256,20.7,82560
A,180518,2311,20.4,83460
A,180518,2326,20.3,84360
A,180518,2341,20.3,85260
A,180518,2356,20.0,86160
A,180519,0011,19.9,660
A,180519,0026,19.8,1560
A,180519,0041,19.7,2460
A,180519,0056,19.4,3360
A,180519,0111,19.1,4260
A,180519,0126,19.1,5160
A,180519,0141,18.9,6060
A,180519,0156,19.0,6960
A,180519,0211,18.8,7860
