glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_noise_30m,t_noise_30m,ent_noise_30m
4,180607,E,15,22,180607_E22_161_wavchunk11_f,180607_E22_161_wavchunk11_f,441.6421458,442.86625,92601.64215,92602.86625,20.6,2404.312535,796.875,6.535391528,0,3,2,0.636514168
4,180607,E,16,22,180607_E22_161_wavchunk16_f,180607_E22_161_wavchunk16_f,528.0398333,529.4706042,95688.03983,95689.4706,20.3,3549.459708,820.3125,6.989239483,0,5,2,0.673011667
4,180607,E,17,22,180607_E22_161_wavchunk21_f,180607_E22_161_wavchunk21_f,513.7833958,515.19025,98673.7834,98675.19025,20.2,1762.017353,468.75,14.21611456,0,5,1,0
4,180607,E,18,22,180607_E22_161_wavchunk22_f,180607_E22_161_wavchunk22_f,7.722583333,19.34325,98767.72258,98779.34325,20.2,3073.660482,468.75,10.19397801,0,5,1,0
4,180611,A,0,11,180611_A11_08_wavchunk33_f,180611_A11_08_wavchunk33_f,91.3855625,94.78664583,50611.38556,50614.78665,28.6,2705.912235,703.125,7.056575111,0,14,3,0.892117871
4,180611,A,1,11,180611_A11_160_wavchunk44_f,180611_A11_160_wavchunk44_f,61.86829167,69.39179167,85321.86829,85329.39179,25.1,3596.520265,1242.1875,12.4703785,0,9,3,0.936888308
4,180611,A,2,11,180611_A11_161_wavchunk28_f,180611_A11_161_wavchunk28_f,11.87916667,12.99472917,104471.8792,104472.9947,22,2535.725535,1125,12.54948831,0,5,3,0.950270539
4,180611,A,0,44,180611_A44_08_wavchunk12_f,180611_A44_08_wavchunk12_f,18.78720833,21.87835417,38958.78721,38961.87835,25,2532.821652,1359.375,11.96959077,0,20,3,0.937636962
4,180611,A,1,44,180611_A44_08_wavchunk40_f,180611_A44_08_wavchunk40_f,53.05016667,54.26908333,55793.05017,55794.26908,30,1995.608106,515.625,8.204146512,0,20,3,0.926506603
4,180611,A,2,44,180611_A44_08_wavchunk42_f,180611_A44_08_wavchunk42_f,487.9034583,489.0156667,57427.90346,57429.01567,29.7,2360.268824,1265.625,16.18371514,0,15,3,1.043757036
4,180611,A,3,44,180611_A44_160_wavchunk47_f,180611_A44_160_wavchunk47_f,9.987208333,16.69235417,87969.98721,87976.69235,25.2,2575.010072,1335.9375,14.27538839,0,9,2,0.636514168
4,180611,A,4,44,180611_A44_161_wavchunk1_f,180611_A44_161_wavchunk1_f,69.02089583,93.55385417,89229.0209,89253.55385,25,2618.508662,1441.40625,18.7865204,0,9,2,0.636514168
4,180611,A,5,44,180611_A44_161_wavchunk5_f,180611_A44_161_wavchunk5_f,15.92616667,17.4961875,91575.92617,91577.49619,24.6,1636.414161,328.125,11.46481602,0,2,1,0
4,180611,A,6,44,180611_A44_161_wavchunk8_f,180611_A44_161_wavchunk8_f,531.3634167,533.0708542,93891.36342,93893.07085,23.9,3070.448166,562.5,12.29913247,0,2,1,0
4,180611,A,7,44,180611_A44_161_wavchunk26_f,180611_A44_161_wavchunk26_f,387.6162708,388.7926667,104547.6163,104548.7927,22,4726.173006,750,7.650350641,0,5,3,0.950270539
4,180611,A,8,44,180611_A44_161_wavchunk27_f,180611_A44_161_wavchunk27_f,584.0708125,586.8412708,105344.0708,105346.8413,21.7,2814.876205,2484.375,7.219076409,0,7,3,0.955699891
4,180611,A,9,44,180611_A44_161_wavchunk32_f,180611_A44_161_wavchunk32_f,518.0187917,519.7781667,108278.0188,108279.7782,21.8,1970.613813,1453.125,17.05150977,0,14,2,0.682908105
4,180611,A,10,44,180611_A44_161_wavchunk34_f,180611_A44_161_wavchunk34_f,118.9778542,174.245375,109078.9779,109134.2454,21.73333333,3224.835197,2671.875,9.911390019,0,20,3,0.845113257
4,180611,A,0,17,180611_A17_160_wavchunk40_f,180611_A17_160_wavchunk40_f,395.0837917,410.3274375,83615.08379,83630.32744,25,3510.046929,562.5,10.35494449,0,8,3,0.974314753
4,180611,A,1,17,180611_A17_160_wavchunk40_f,180611_A17_160_wavchunk40_f,473.5057083,480.3305,83693.50571,83700.3305,25,3128.068966,773.4375,11.71146546,0,7,3,1.004242473
4,180611,A,2,17,180611_A17_161_wavchunk6_f,180611_A17_161_wavchunk6_f,359.8102708,396.8896875,91979.81027,92016.88969,24.57142857,4767.180282,562.5,11.74047374,0,3,1,0
4,180611,A,3,17,180611_A17_161_wavchunk19_f,180611_A17_161_wavchunk19_f,452.9665417,455.2382708,99872.96654,99875.23827,22.5,3738.949004,656.25,11.88521959,0,0,0,0
4,180611,A,4,17,180611_A17_161_wavchunk20_f,180611_A17_161_wavchunk20_f,87.77658333,183.9807292,100107.7766,100203.9807,22.34,3580.703749,492.1875,13.54546425,0,0,0,0
4,180611,A,5,17,180611_A17_161_wavchunk32_f,180611_A17_161_wavchunk32_f,502.292375,558.111125,107722.2924,107778.1111,21.8,3013.159328,1125,12.10444969,0,15,2,0.636514168
