glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180607,E,1.0,5,180607_E05_160_wavchunk47_f,180607_E05_160_wavchunk47_f,402.2505833,403.48175,84522.25058,84523.48175,21.6,2971.7461734014423,1453.125,12.183359561399056,0,0,2426.6135000000068,2,775.1383799999894
3,180607,E,0.0,10,180607_E10_161_wavchunk0_f,180607_E10_161_wavchunk0_f,337.3889583,356.8135417,85297.38896,85316.81354,21.5,2170.5273916490514,1359.375,5.706205923048412,0,0,3201.751879999996,1,775.1383799999894
3,180607,E,1.0,10,180607_E10_161_wavchunk0_f,180607_E10_161_wavchunk0_f,424.473375,428.8129375,85384.47338,85388.81294,21.5,2104.608250573463,1406.25,3.456569642677113,0,0,3288.8362999999954,1,862.2227999999886
3,180607,E,0.0,14,180607_E14_160_wavchunk19_f,180607_E14_160_wavchunk19_f,383.5878542,384.7217292,68243.58785,68244.72173,26.8,2381.2187441199167,1312.5,8.819314298313307,0,0,10225.36669000001,0,1989.5559599999979
3,180607,E,1.0,14,180607_E14_160_wavchunk32_f,180607_E14_160_wavchunk32_f,23.59779167,25.029625,75683.59779,75685.02963,23.9,2569.337008411125,1265.625,5.58724246304272,0,0,2785.3567500000063,2,110.82596000000194
3,180607,E,2.0,14,180607_E14_160_wavchunk32_f,180607_E14_160_wavchunk32_f,113.455875,118.1762708,75773.45588,75778.17627,23.9,2114.185681116972,1312.5,2.1184757566930594,0,0,2695.498660000012,2,20.96787000000768
3,180607,E,3.0,14,180607_E14_161_wavchunk45_f,180607_E14_161_wavchunk45_f,207.0118125,210.7053125,112467.0118,112470.7053,20.2,2178.89349482364,1078.125,10.017598483822931,0,0,30371.374719999993,0,27082.538419999997
3,180607,E,0.0,20,180607_E20_160_wavchunk25_f,180607_E20_160_wavchunk25_f,196.00225,219.7082917,71656.00225,71679.70829,25.5,3939.3640029337007,1453.125,6.767507905496586,0,0,6812.952290000001,5,95.10133000000496
3,180607,E,1.0,20,180607_E20_160_wavchunk25_f,180607_E20_160_wavchunk25_f,309.71625,431.2974167,71769.71625,71891.29742,25.5,2974.0616229793063,1476.5625,7.42808557564605,0,0,6699.238290000008,5,208.81532999999763
3,180607,E,2.0,20,180607_E20_160_wavchunk25_f,180607_E20_160_wavchunk25_f,529.987,586.1507292,71989.987,72046.15073,25.5,2867.1497539353936,1476.5625,5.669189885649863,0,0,6478.967540000012,5,30.171060000007856
3,180611,A,0.0,12,180611_A12_08_wavchunk3_f,180611_A12_08_wavchunk3_f,445.6922083,452.3187292,32965.69221,32972.31873,22.5,1897.449636618588,1148.4375,5.186740644485138,0,0,,0,3173.0898499999967
3,180611,A,1.0,12,180611_A12_160_wavchunk7_f,180611_A12_160_wavchunk7_f,507.5322292,514.2715833,63567.53223,63574.27158,29.6,2162.472449847808,1265.625,6.677197679055547,0,0,,1,286.13902000000235
3,180611,A,2.0,12,180611_A12_160_wavchunk10_f,180611_A12_160_wavchunk10_f,497.471625,523.7633125,65357.47163,65383.76331,29.7,1640.8926444664617,1382.8125,7.252500133856065,0,0,,2,1354.1912699999957
3,180611,A,3.0,12,180611_A12_160_wavchunk11_f,180611_A12_160_wavchunk11_f,47.8791875,52.30141667,65507.87919,65512.30142,29.7,1577.3717679780218,984.375,9.271342224651027,0,0,,2,1203.783709999996
3,180611,A,0.0,29,180611_A29_08_wavchunk7_f,180611_A29_08_wavchunk7_f,198.7820625,202.5316667,36138.78206,36142.53167,23.7,2338.043633458325,1546.875,6.934065262444369,0,0,,0,3173.0898499999967
3,180611,A,1.0,29,180611_A29_08_wavchunk7_f,180611_A29_08_wavchunk7_f,343.8350833,345.6635208,36283.83508,36285.66352,23.9,2415.322612042466,1406.25,8.203725858827552,0,0,,0,3318.142869999996
3,180611,A,0.0,11,180611_A11_161_wavchunk28_f,180611_A11_161_wavchunk28_f,231.0820208,237.5557708,104691.082,104697.5558,21.7,3939.600477248348,468.75,2.780459548175324,0,0,,0,19810.72425
3,180611,A,1.0,11,180611_A11_161_wavchunk38_f,180611_A11_161_wavchunk38_f,478.4728333,503.2657708,110938.4728,110963.2658,21.600000000000005,5334.675107105597,421.875,8.786867379606294,0,0,,0,26058.115050000008
3,180611,A,0.0,16,180611_A16_160_wavchunk7_f,180611_A16_160_wavchunk7_f,553.67125,555.8714167,63853.67125,63855.87142,29.6,2759.99456413436,703.125,4.545153256886381,0,0,,3,286.13902000000235
